type,data-set,entityid,bodysystem,code,codedesc,chronic,expirydate,availabilitydate
ICDCode,0,icd:28,1,005.3,FOOD POIS: CLOSTRID NEC,,,
ICDCode,0,icd:29,1,005.4,FOOD POIS: V. PARAHAEM,,,
ICDCode,0,icd:30,1,005.81,FOOD POISN D/T V. VULNIF,,,
ICDCode,0,icd:31,1,005.89,BACT FOOD POISONING NEC,,,
ICDCode,0,icd:32,1,005.9,FOOD POISONING NOS,,,
ICDCode,0,icd:33,1,006.0,AC AMEBIASIS W/O ABSCESS,,,
ICDCode,0,icd:34,1,006.1,CHR AMEBIASIS W/O ABSCES,,,
ICDCode,0,icd:35,1,006.2,AMEBIC NONDYSENT COLITIS,,,
ICDCode,0,icd:36,1,006.3,AMEBIC LIVER ABSCESS,,,
ICDCode,0,icd:37,1,006.4,AMEBIC LUNG ABSCESS,,,
ICDCode,0,icd:38,1,006.5,AMEBIC BRAIN ABSCESS,,,
ICDCode,0,icd:39,1,006.6,AMEBIC SKIN ULCERATION,,,
ICDCode,0,icd:40,1,006.8,AMEBIC INFECTION NEC,,,
ICDCode,0,icd:41,1,006.9,AMEBIASIS NOS,,,
ICDCode,0,icd:42,1,007.0,BALANTIDIASIS,,,
ICDCode,0,icd:43,1,007.1,GIARDIASIS,,,
ICDCode,0,icd:44,1,007.2,COCCIDIOSIS,,,
ICDCode,0,icd:45,1,007.3,INTEST TRICHOMONIASIS,,,
ICDCode,0,icd:46,1,007.4,CRYPTOSPORIDIOSIS,,,
ICDCode,0,icd:47,1,007.5,CYCLOSPORIASIS,,,
ICDCode,0,icd:48,1,007.8,PROTOZOAL INTEST DIS NEC,,,
ICDCode,0,icd:49,1,007.9,PROTOZOAL INTEST DIS NOS,,,
ICDCode,0,icd:50,1,008.00,INTEST INFEC E COLI NOS,,,
ICDCode,0,icd:51,1,008.01,INT INF E COLI ENTRPATH,,,
ICDCode,0,icd:52,1,008.02,INT INF E COLI ENTRTOXGN,,,
ICDCode,0,icd:53,1,008.03,INT INF E COLI ENTRNVSV,,,
ICDCode,0,icd:54,1,008.04,INT INF E COLI ENTRHMRG,,,
ICDCode,0,icd:55,1,008.09,INT INF E COLI SPCF NEC,,,
ICDCode,0,icd:56,1,008.1,ARIZONA ENTERITIS,,,
ICDCode,0,icd:57,1,008.2,AEROBACTER ENTERITIS,,,
ICDCode,0,icd:58,1,008.3,PROTEUS ENTERITIS,,,
ICDCode,0,icd:59,1,008.41,STAPHYLOCOCC ENTERITIS,,,
ICDCode,0,icd:60,1,008.42,PSEUDOMONAS ENTERITIS,,,
ICDCode,0,icd:61,1,008.43,INT INFEC CAMPYLOBACTER,,,
ICDCode,0,icd:62,1,008.44,INT INF YRSNIA ENTRCLTCA,,,
ICDCode,0,icd:63,1,008.45,INT INF CLSTRDIUM DFCILE,,,
ICDCode,0,icd:64,1,008.46,INTES INFEC OTH ANEROBES,,,
ICDCode,0,icd:65,1,008.47,INT INF OTH GRM NEG BCTR,,,
ICDCode,0,icd:66,1,008.49,BACTERIAL ENTERITIS NEC,,,
ICDCode,0,icd:67,1,008.5,BACTERIAL ENTERITIS NOS,,,
ICDCode,0,icd:68,1,008.61,INTES INFEC ROTAVIRUS,,,
ICDCode,0,icd:69,1,008.62,INTES INFEC ADENOVIRUS,,,
ICDCode,0,icd:70,1,008.63,INT INF NORWALK VIRUS,,,
ICDCode,0,icd:71,1,008.64,INT INF OTH SML RND VRUS,,,
ICDCode,0,icd:72,1,008.65,ENTERITIS DUE TO CALICIVIRUS,,,
ICDCode,0,icd:73,1,008.66,INTES INFEC ASTROVIRUS,,,
ICDCode,0,icd:74,1,008.67,INT INF ENTEROVIRUS NEC,,,
ICDCode,0,icd:75,1,008.69,OTHER VIRAL INTES INFEC,,,
ICDCode,0,icd:76,1,008.8,VIRAL ENTERITIS NOS,,,
ICDCode,0,icd:77,1,009.0,INFECTIOUS ENTERITIS NOS,,,
ICDCode,0,icd:78,1,009.1,ENTERITIS OF INFECT ORIG,,,
ICDCode,0,icd:79,1,009.2,INFECTIOUS DIARRHEA NOS,,,
ICDCode,0,icd:80,1,009.3,DIARRHEA OF INFECT ORIG,,,
ICDCode,0,icd:81,1,010.00,PRIM TB COMPLEX-UNSPEC,,,
ICDCode,0,icd:82,1,010.01,PRIM TB COMPLEX-NO EXAM,,,
ICDCode,0,icd:83,1,010.02,PRIM TB COMPLEX-EXM UNKN,,,
ICDCode,0,icd:84,1,010.03,PRIM TB COMPLEX-MICRO DX,,,
ICDCode,0,icd:85,1,010.04,PRIM TB COMPLEX-CULT DX,,,
ICDCode,0,icd:86,1,010.05,PRIM TB COMPLEX-HISTO DX,,,
ICDCode,0,icd:87,1,010.06,PRIM TB COMPLEX-OTH TEST,,,
ICDCode,0,icd:88,1,010.10,PRIM TB PLEURISY-UNSPEC,,,
ICDCode,0,icd:89,1,010.11,PRIM TB PLEURISY-NO EXAM,,,
ICDCode,0,icd:90,1,010.12,PRIM TB PLEUR-EXAM UNKN,,,
ICDCode,0,icd:91,1,010.13,PRIM TB PLEURIS-MICRO DX,,,
ICDCode,0,icd:92,1,010.14,PRIM TB PLEURISY-CULT DX,,,
ICDCode,0,icd:93,1,010.15,PRIM TB PLEURIS-HISTO DX,,,
ICDCode,0,icd:94,1,010.16,PRIM TB PLEURIS-OTH TEST,,,
ICDCode,0,icd:95,1,010.80,PRIM PROG TB NEC-UNSPEC,,,
ICDCode,0,icd:96,1,010.81,PRIM PROG TB NEC-NO EXAM,,,
ICDCode,0,icd:97,1,010.82,PRIM PR TB NEC-EXAM UNKN,,,
ICDCode,0,icd:98,1,010.83,PRIM PRG TB NEC-MICRO DX,,,
ICDCode,0,icd:99,1,010.84,PRIM PROG TB NEC-CULT DX,,,
ICDCode,0,icd:100,1,010.85,PRIM PRG TB NEC-HISTO DX,,,
ICDCode,0,icd:101,1,010.86,PRIM PRG TB NEC-OTH TEST,,,
ICDCode,0,icd:102,1,010.90,PRIMARY TB NOS-UNSPEC,,,
ICDCode,0,icd:103,1,010.91,PRIMARY TB NOS-NO EXAM,,,
ICDCode,0,icd:104,1,010.92,PRIMARY TB NOS-EXAM UNKN,,,
ICDCode,0,icd:105,1,010.93,PRIMARY TB NOS-MICRO DX,,,
ICDCode,0,icd:106,1,010.94,PRIMARY TB NOS-CULT DX,,,
ICDCode,0,icd:107,1,010.95,PRIMARY TB NOS-HISTO DX,,,
ICDCode,0,icd:108,1,010.96,PRIMARY TB NOS-OTH TEST,,,
ICDCode,0,icd:109,1,011.00,TB LUNG INFILTR-UNSPEC,,,
ICDCode,0,icd:110,1,011.01,TB LUNG INFILTR-NO EXAM,,,
ICDCode,0,icd:111,1,011.02,TB LUNG INFILTR-EXM UNKN,,,
ICDCode,0,icd:112,1,011.03,TB LUNG INFILTR-MICRO DX,,,
ICDCode,0,icd:113,1,011.04,TB LUNG INFILTR-CULT DX,,,
ICDCode,0,icd:114,1,011.05,TB LUNG INFILTR-HISTO DX,,,
ICDCode,0,icd:115,1,011.06,TB LUNG INFILTR-OTH TEST,,,
ICDCode,0,icd:116,1,011.10,TB LUNG NODULAR-UNSPEC,,,
ICDCode,0,icd:117,1,011.11,TB LUNG NODULAR-NO EXAM,,,
ICDCode,0,icd:118,1,011.12,TB LUNG NODUL-EXAM UNKN,,,
ICDCode,0,icd:119,1,011.13,TB LUNG NODULAR-MICRO DX,,,
ICDCode,0,icd:120,1,011.14,TB LUNG NODULAR-CULT DX,,,
ICDCode,0,icd:121,1,011.15,TB LUNG NODULAR-HISTO DX,,,
ICDCode,0,icd:122,1,011.16,TB LUNG NODULAR-OTH TEST,,,
ICDCode,0,icd:123,1,011.20,TB LUNG W CAVITY-UNSPEC,,,
ICDCode,0,icd:124,1,011.21,TB LUNG W CAVITY-NO EXAM,,,
ICDCode,0,icd:125,1,011.22,TB LUNG CAVITY-EXAM UNKN,,,
ICDCode,0,icd:126,1,011.23,TB LUNG W CAVIT-MICRO DX,,,
ICDCode,0,icd:127,1,011.24,TB LUNG W CAVITY-CULT DX,,,
ICDCode,0,icd:128,1,011.25,TB LUNG W CAVIT-HISTO DX,,,
ICDCode,0,icd:129,1,011.26,TB LUNG W CAVIT-OTH TEST,,,
ICDCode,0,icd:130,1,011.30,TB OF BRONCHUS-UNSPEC,,,
ICDCode,0,icd:131,1,011.31,TB OF BRONCHUS-NO EXAM,,,
ICDCode,0,icd:132,1,011.32,TB OF BRONCHUS-EXAM UNKN,,,
ICDCode,0,icd:133,1,011.33,TB OF BRONCHUS-MICRO DX,,,
ICDCode,0,icd:134,1,011.34,TB OF BRONCHUS-CULT DX,,,
ICDCode,0,icd:135,1,011.35,TB OF BRONCHUS-HISTO DX,,,
ICDCode,0,icd:136,1,011.36,TB OF BRONCHUS-OTH TEST,,,
ICDCode,0,icd:137,1,011.40,TB LUNG FIBROSIS-UNSPEC,,,
ICDCode,0,icd:138,1,011.41,TB LUNG FIBROSIS-NO EXAM,,,
ICDCode,0,icd:139,1,011.42,TB LUNG FIBROS-EXAM UNKN,,,
ICDCode,0,icd:140,1,011.43,TB LUNG FIBROS-MICRO DX,,,
ICDCode,0,icd:141,1,011.44,TB LUNG FIBROSIS-CULT DX,,,
ICDCode,0,icd:142,1,011.45,TB LUNG FIBROS-HISTO DX,,,
ICDCode,0,icd:143,1,011.46,TB LUNG FIBROS-OTH TEST,,,
ICDCode,0,icd:144,1,011.50,TB BRONCHIECTASIS-UNSPEC,,,
ICDCode,0,icd:145,1,011.51,TB BRONCHIECT-NO EXAM,,,
ICDCode,0,icd:146,1,011.52,TB BRONCHIECT-EXAM UNKN,,,
ICDCode,0,icd:147,1,011.53,TB BRONCHIECT-MICRO DX,,,
ICDCode,0,icd:148,1,011.54,TB BRONCHIECT-CULT DX,,,
ICDCode,0,icd:149,1,011.55,TB BRONCHIECT-HISTO DX,,,
ICDCode,0,icd:150,1,011.56,TB BRONCHIECT-OTH TEST,,,
ICDCode,0,icd:151,1,011.60,TB PNEUMONIA-UNSPEC,,,
ICDCode,0,icd:152,1,011.61,TB PNEUMONIA-NO EXAM,,,
ICDCode,0,icd:153,1,011.62,TB PNEUMONIA-EXAM UNKN,,,
ICDCode,0,icd:154,1,011.63,TB PNEUMONIA-MICRO DX,,,
ICDCode,0,icd:155,1,011.64,TB PNEUMONIA-CULT DX,,,
ICDCode,0,icd:156,1,011.65,TB PNEUMONIA-HISTO DX,,,
ICDCode,0,icd:157,1,011.66,TB PNEUMONIA-OTH TEST,,,
ICDCode,0,icd:158,1,011.70,TB PNEUMOTHORAX-UNSPEC,,,
ICDCode,0,icd:159,1,011.71,TB PNEUMOTHORAX-NO EXAM,,,
ICDCode,0,icd:160,1,011.72,TB PNEUMOTHORX-EXAM UNKN,,,
ICDCode,0,icd:161,1,011.73,TB PNEUMOTHORAX-MICRO DX,,,
ICDCode,0,icd:162,1,011.74,TB PNEUMOTHORAX-CULT DX,,,
ICDCode,0,icd:163,1,011.75,TB PNEUMOTHORAX-HISTO DX,,,
ICDCode,0,icd:164,1,011.76,TB PNEUMOTHORAX-OTH TEST,,,
ICDCode,0,icd:165,1,011.80,PULMONARY TB NEC-UNSPEC,,,
ICDCode,0,icd:166,1,011.81,PULMONARY TB NEC-NO EXAM,,,
ICDCode,0,icd:167,1,011.82,PULMON TB NEC-EXAM UNKN,,,
ICDCode,0,icd:168,1,011.83,PULMON TB NEC-MICRO DX,,,
ICDCode,0,icd:169,1,011.84,PULMON TB NEC-CULT DX,,,
ICDCode,0,icd:170,1,011.85,PULMON TB NEC-HISTO DX,,,
ICDCode,0,icd:171,1,011.86,PULMON TB NEC-OTH TEST,,,
ICDCode,0,icd:172,1,011.90,PULMONARY TB NOS-UNSPEC,,,
ICDCode,0,icd:173,1,011.91,PULMONARY TB NOS-NO EXAM,,,
ICDCode,0,icd:174,1,011.92,PULMON TB NOS-EXAM UNKN,,,
ICDCode,0,icd:175,1,011.93,PULMON TB NOS-MICRO DX,,,
ICDCode,0,icd:176,1,011.94,PULMON TB NOS-CULT DX,,,
ICDCode,0,icd:177,1,011.95,PULMON TB NOS-HISTO DX,,,
ICDCode,0,icd:178,1,011.96,PULMON TB NOS-OTH TEST,,,
ICDCode,0,icd:179,1,012.00,TB PLEURISY-UNSPEC,,,
ICDCode,0,icd:180,1,012.01,TB PLEURISY-NO EXAM,,,
ICDCode,0,icd:181,1,012.02,TB PLEURISY-EXAM UNKN,,,
ICDCode,0,icd:182,1,012.03,TB PLEURISY-MICRO DX,,,
ICDCode,0,icd:183,1,012.04,TB PLEURISY-CULT DX,,,
ICDCode,0,icd:184,1,012.05,TB PLEURISY-HISTOLOG DX,,,
ICDCode,0,icd:185,1,012.06,TB PLEURISY-OTH TEST,,,
ICDCode,0,icd:186,1,012.10,TB THORACIC NODES-UNSPEC,,,
ICDCode,0,icd:187,1,012.11,TB THORAX NODE-NO EXAM,,,
ICDCode,0,icd:188,1,012.12,TB THORAX NODE-EXAM UNKN,,,
ICDCode,0,icd:189,1,012.13,TB THORAX NODE-MICRO DX,,,
ICDCode,0,icd:190,1,012.14,TB THORAX NODE-CULT DX,,,
ICDCode,0,icd:191,1,012.15,TB THORAX NODE-HISTO DX,,,
ICDCode,0,icd:192,1,012.16,TB THORAX NODE-OTH TEST,,,
ICDCode,0,icd:193,1,012.20,ISOL TRACHEAL TB-UNSPEC,,,
ICDCode,0,icd:194,1,012.21,ISOL TRACHEAL TB-NO EXAM,,,
ICDCode,0,icd:195,1,012.22,ISOL TRACH TB-EXAM UNKN,,,
ICDCode,0,icd:196,1,012.23,ISOLAT TRACH TB-MICRO DX,,,
ICDCode,0,icd:197,1,012.24,ISOL TRACHEAL TB-CULT DX,,,
ICDCode,0,icd:198,1,012.25,ISOLAT TRACH TB-HISTO DX,,,
ICDCode,0,icd:199,1,012.26,ISOLAT TRACH TB-OTH TEST,,,
ICDCode,0,icd:200,1,012.30,TB LARYNGITIS-UNSPEC,,,
ICDCode,0,icd:201,1,012.31,TB LARYNGITIS-NO EXAM,,,
ICDCode,0,icd:202,1,012.32,TB LARYNGITIS-EXAM UNKN,,,
ICDCode,0,icd:203,1,012.33,TB LARYNGITIS-MICRO DX,,,
ICDCode,0,icd:204,1,012.34,TB LARYNGITIS-CULT DX,,,
ICDCode,0,icd:205,1,012.35,TB LARYNGITIS-HISTO DX,,,
ICDCode,0,icd:206,1,012.36,TB LARYNGITIS-OTH TEST,,,
ICDCode,0,icd:207,1,012.80,RESP TB NEC-UNSPEC,,,
ICDCode,0,icd:208,1,012.81,RESP TB NEC-NO EXAM,,,
ICDCode,0,icd:209,1,012.82,RESP TB NEC-EXAM UNKN,,,
ICDCode,0,icd:210,1,012.83,RESP TB NEC-MICRO DX,,,
ICDCode,0,icd:211,1,012.84,RESP TB NEC-CULT DX,,,
ICDCode,0,icd:212,1,012.85,RESP TB NEC-HISTO DX,,,
ICDCode,0,icd:213,1,012.86,RESP TB NEC-OTH TEST,,,
ICDCode,0,icd:214,1,013.00,TB MENINGITIS-UNSPEC,,,
ICDCode,0,icd:215,1,013.01,TB MENINGITIS-NO EXAM,,,
ICDCode,0,icd:216,1,013.02,TB MENINGITIS-EXAM UNKN,,,
ICDCode,0,icd:217,1,013.03,TB MENINGITIS-MICRO DX,,,
ICDCode,0,icd:218,1,013.04,TB MENINGITIS-CULT DX,,,
ICDCode,0,icd:219,1,013.05,TB MENINGITIS-HISTO DX,,,
ICDCode,0,icd:220,1,013.06,TB MENINGITIS-OTH TEST,,,
ICDCode,0,icd:221,1,013.10,TUBRCLMA MENINGES-UNSPEC,,,
ICDCode,0,icd:222,1,013.11,TUBRCLMA MENING-NO EXAM,,,
ICDCode,0,icd:223,1,013.12,TUBRCLMA MENIN-EXAM UNKN,,,
ICDCode,0,icd:224,1,013.13,TUBRCLMA MENING-MICRO DX,,,
ICDCode,0,icd:225,1,013.14,TUBRCLMA MENING-CULT DX,,,
ICDCode,0,icd:226,1,013.15,TUBRCLMA MENING-HISTO DX,,,
ICDCode,0,icd:227,1,013.16,TUBRCLMA MENING-OTH TEST,,,
ICDCode,0,icd:228,1,013.20,TUBERCULOMA BRAIN-UNSPEC,,,
ICDCode,0,icd:229,1,013.21,TUBRCLOMA BRAIN-NO EXAM,,,
ICDCode,0,icd:230,1,013.22,TUBRCLMA BRAIN-EXAM UNKN,,,
ICDCode,0,icd:231,1,013.23,TUBRCLOMA BRAIN-MICRO DX,,,
ICDCode,0,icd:232,1,013.24,TUBRCLOMA BRAIN-CULT DX,,,
ICDCode,0,icd:233,1,013.25,TUBRCLOMA BRAIN-HISTO DX,,,
ICDCode,0,icd:234,1,013.26,TUBRCLOMA BRAIN-OTH TEST,,,
ICDCode,0,icd:235,1,013.30,TB BRAIN ABSCESS-UNSPEC,,,
ICDCode,0,icd:236,1,013.31,TB BRAIN ABSCESS-NO EXAM,,,
ICDCode,0,icd:237,1,013.32,TB BRAIN ABSC-EXAM UNKN,,,
ICDCode,0,icd:238,1,013.33,TB BRAIN ABSC-MICRO DX,,,
ICDCode,0,icd:239,1,013.34,TB BRAIN ABSCESS-CULT DX,,,
ICDCode,0,icd:240,1,013.35,TB BRAIN ABSC-HISTO DX,,,
ICDCode,0,icd:241,1,013.36,TB BRAIN ABSC-OTH TEST,,,
ICDCode,0,icd:242,1,013.40,TUBRCLMA SP CORD-UNSPEC,,,
ICDCode,0,icd:243,1,013.41,TUBRCLMA SP CORD-NO EXAM,,,
ICDCode,0,icd:244,1,013.42,TUBRCLMA SP CD-EXAM UNKN,,,
ICDCode,0,icd:245,1,013.43,TUBRCLMA SP CRD-MICRO DX,,,
ICDCode,0,icd:246,1,013.44,TUBRCLMA SP CORD-CULT DX,,,
ICDCode,0,icd:247,1,013.45,TUBRCLMA SP CRD-HISTO DX,,,
ICDCode,0,icd:248,1,013.46,TUBRCLMA SP CRD-OTH TEST,,,
ICDCode,0,icd:249,1,013.50,TB SP CRD ABSCESS-UNSPEC,,,
ICDCode,0,icd:250,1,013.51,TB SP CRD ABSC-NO EXAM,,,
ICDCode,0,icd:251,1,013.52,TB SP CRD ABSC-EXAM UNKN,,,
ICDCode,0,icd:252,1,013.53,TB SP CRD ABSC-MICRO DX,,,
ICDCode,0,icd:253,1,013.54,TB SP CRD ABSC-CULT DX,,,
ICDCode,0,icd:254,1,013.55,TB SP CRD ABSC-HISTO DX,,,
ICDCode,0,icd:255,1,013.56,TB SP CRD ABSC-OTH TEST,,,
ICDCode,0,icd:256,1,013.60,TB ENCEPHALITIS-UNSPEC,,,
ICDCode,0,icd:257,1,013.61,TB ENCEPHALITIS-NO EXAM,,,
ICDCode,0,icd:258,1,013.62,TB ENCEPHALIT-EXAM UNKN,,,
ICDCode,0,icd:259,1,013.63,TB ENCEPHALITIS-MICRO DX,,,
ICDCode,0,icd:260,1,013.64,TB ENCEPHALITIS-CULT DX,,,
ICDCode,0,icd:261,1,013.65,TB ENCEPHALITIS-HISTO DX,,,
ICDCode,0,icd:262,1,013.66,TB ENCEPHALITIS-OTH TEST,,,
ICDCode,0,icd:263,1,013.80,CNS TB NEC-UNSPEC,,,
ICDCode,0,icd:264,1,013.81,CNS TB NEC-NO EXAM,,,
ICDCode,0,icd:265,1,013.82,CNS TB NEC-EXAM UNKN,,,
ICDCode,0,icd:266,1,013.83,CNS TB NEC-MICRO DX,,,
ICDCode,0,icd:267,1,013.84,CNS TB NEC-CULT DX,,,
ICDCode,0,icd:268,1,013.85,CNS TB NEC-HISTO DX,,,
ICDCode,0,icd:269,1,013.86,CNS TB NEC-OTH TEST,,,
ICDCode,0,icd:270,1,013.90,CNS TB NOS-UNSPEC,,,
ICDCode,0,icd:271,1,013.91,CNS TB NOS-NO EXAM,,,
ICDCode,0,icd:272,1,013.92,CNS TB NOS-EXAM UNKN,,,
ICDCode,0,icd:273,1,013.93,CNS TB NOS-MICRO DX,,,
ICDCode,0,icd:274,1,013.94,CNS TB NOS-CULT DX,,,
ICDCode,0,icd:275,1,013.95,CNS TB NOS-HISTO DX,,,
ICDCode,0,icd:276,1,013.96,CNS TB NOS-OTH TEST,,,
ICDCode,0,icd:277,1,014.00,TB PERITONITIS-UNSPEC,,,
ICDCode,0,icd:278,1,014.01,TB PERITONITIS-NO EXAM,,,
ICDCode,0,icd:279,1,014.02,TB PERITONITIS-EXAM UNKN,,,
ICDCode,0,icd:280,1,014.03,TB PERITONITIS-MICRO DX,,,
ICDCode,0,icd:281,1,014.04,TB PERITONITIS-CULT DX,,,
ICDCode,0,icd:282,1,014.05,TB PERITONITIS-HISTO DX,,,
ICDCode,0,icd:283,1,014.06,TB PERITONITIS-OTH TEST,,,
ICDCode,0,icd:284,1,014.80,INTESTINAL TB NEC-UNSPEC,,,
ICDCode,0,icd:285,1,014.81,INTESTIN TB NEC-NO EXAM,,,
ICDCode,0,icd:286,1,014.82,INTEST TB NEC-EXAM UNKN,,,
ICDCode,0,icd:287,1,014.83,INTESTIN TB NEC-MICRO DX,,,
ICDCode,0,icd:288,1,014.84,INTESTIN TB NEC-CULT DX,,,
ICDCode,0,icd:289,1,014.85,INTESTIN TB NEC-HISTO DX,,,
ICDCode,0,icd:290,1,014.86,INTESTIN TB NEC-OTH TEST,,,
ICDCode,0,icd:291,1,015.00,TB OF VERTEBRA-UNSPEC,,,
ICDCode,0,icd:292,1,015.01,TB OF VERTEBRA-NO EXAM,,,
ICDCode,0,icd:293,1,015.02,TB OF VERTEBRA-EXAM UNKN,,,
ICDCode,0,icd:294,1,015.03,TB OF VERTEBRA-MICRO DX,,,
ICDCode,0,icd:295,1,015.04,TB OF VERTEBRA-CULT DX,,,
ICDCode,0,icd:296,1,015.05,TB OF VERTEBRA-HISTO DX,,,
ICDCode,0,icd:297,1,015.06,TB OF VERTEBRA-OTH TEST,,,
ICDCode,0,icd:298,1,015.10,TB OF HIP-UNSPEC,,,
ICDCode,0,icd:299,1,015.11,TB OF HIP-NO EXAM,,,
ICDCode,0,icd:300,1,015.12,TB OF HIP-EXAM UNKN,,,
ICDCode,0,icd:301,1,015.13,TB OF HIP-MICRO DX,,,
ICDCode,0,icd:302,1,015.14,TB OF HIP-CULT DX,,,
ICDCode,0,icd:303,1,015.15,TB OF HIP-HISTO DX,,,
ICDCode,0,icd:304,1,015.16,TB OF HIP-OTH TEST,,,
ICDCode,0,icd:305,1,015.20,TB OF KNEE-UNSPEC,,,
ICDCode,0,icd:306,1,015.21,TB OF KNEE-NO EXAM,,,
ICDCode,0,icd:307,1,015.22,TB OF KNEE-EXAM UNKN,,,
ICDCode,0,icd:308,1,015.23,TB OF KNEE-MICRO DX,,,
ICDCode,0,icd:309,1,015.24,TB OF KNEE-CULT DX,,,
ICDCode,0,icd:310,1,015.25,TB OF KNEE-HISTO DX,,,
ICDCode,0,icd:311,1,015.26,TB OF KNEE-OTH TEST,,,
ICDCode,0,icd:312,1,015.50,TB OF LIMB BONES-UNSPEC,,,
ICDCode,0,icd:313,1,015.51,TB LIMB BONES-NO EXAM,,,
ICDCode,0,icd:314,1,015.52,TB LIMB BONES-EXAM UNKN,,,
ICDCode,0,icd:315,1,015.53,TB LIMB BONES-MICRO DX,,,
ICDCode,0,icd:316,1,015.54,TB LIMB BONES-CULT DX,,,
ICDCode,0,icd:317,1,015.55,TB LIMB BONES-HISTO DX,,,
ICDCode,0,icd:318,1,015.56,TB LIMB BONES-OTH TEST,,,
ICDCode,0,icd:319,1,015.60,TB OF MASTOID-UNSPEC,,,
ICDCode,0,icd:320,1,015.61,TB OF MASTOID-NO EXAM,,,
ICDCode,0,icd:321,1,015.62,TB OF MASTOID-EXAM UNKN,,,
ICDCode,0,icd:322,1,015.63,TB OF MASTOID-MICRO DX,,,
ICDCode,0,icd:323,1,015.64,TB OF MASTOID-CULT DX,,,
ICDCode,0,icd:324,1,015.65,TB OF MASTOID-HISTO DX,,,
ICDCode,0,icd:325,1,015.66,TB OF MASTOID-OTH TEST,,,
ICDCode,0,icd:326,1,015.70,TB OF BONE NEC-UNSPEC,,,
ICDCode,0,icd:327,1,015.71,TB OF BONE NEC-NO EXAM,,,
ICDCode,0,icd:328,1,015.72,TB OF BONE NEC-EXAM UNKN,,,
ICDCode,0,icd:329,1,015.73,TB OF BONE NEC-MICRO DX,,,
ICDCode,0,icd:330,1,015.74,TB OF BONE NEC-CULT DX,,,
ICDCode,0,icd:331,1,015.75,TB OF BONE NEC-HISTO DX,,,
ICDCode,0,icd:332,1,015.76,TB OF BONE NEC-OTH TEST,,,
ICDCode,0,icd:333,1,015.80,TB OF JOINT NEC-UNSPEC,,,
ICDCode,0,icd:334,1,015.81,TB OF JOINT NEC-NO EXAM,,,
ICDCode,0,icd:335,1,015.82,TB JOINT NEC-EXAM UNKN,,,
ICDCode,0,icd:336,1,015.83,TB OF JOINT NEC-MICRO DX,,,
ICDCode,0,icd:337,1,015.84,TB OF JOINT NEC-CULT DX,,,
ICDCode,0,icd:338,1,015.85,TB OF JOINT NEC-HISTO DX,,,
ICDCode,0,icd:339,1,015.86,TB OF JOINT NEC-OTH TEST,,,
ICDCode,0,icd:340,1,015.90,TB BONE/JOINT NOS-UNSPEC,,,
ICDCode,0,icd:341,1,015.91,TB BONE/JT NOS-NO EXAM,,,
ICDCode,0,icd:342,1,015.92,TB BONE/JT NOS-EXAM UNKN,,,
ICDCode,0,icd:343,1,015.93,TB BONE/JT NOS-MICRO DX,,,
ICDCode,0,icd:344,1,015.94,TB BONE/JT NOS-CULT DX,,,
ICDCode,0,icd:345,1,015.95,TB BONE/JT NOS-HISTO DX,,,
ICDCode,0,icd:346,1,015.96,TB BONE/JT NOS-OTH TEST,,,
ICDCode,0,icd:347,1,016.00,TB OF KIDNEY-UNSPEC,,,
