type,data-set,entityid,bodysystem,code,codedesc,chronic,expirydate,availabilitydate,icdversionext
ICDCode,0,icd:91,1,01013,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:92,1,01014,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:93,1,01015,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:94,1,01016,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:95,1,01080,"Other primary progressive tuberculosis, unspecified",,,,9
ICDCode,0,icd:96,1,01081,"Other primary progressive tuberculosis, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:97,1,01082,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:98,1,01083,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:99,1,01084,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:100,1,01085,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:101,1,01086,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:102,1,01090,"Primary tuberculous infection, unspecified, unspecified",,,,9
ICDCode,0,icd:103,1,01091,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:104,1,01092,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:105,1,01093,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:106,1,01094,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:107,1,01095,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:108,1,01096,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:109,1,01100,"Tuberculosis of lung, infiltrative, unspecified",,,,9
ICDCode,0,icd:110,1,01101,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:111,1,01102,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:112,1,01103,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:113,1,01104,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:114,1,01105,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:115,1,01106,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:116,1,01110,"Tuberculosis of lung, nodular, unspecified",,,,9
ICDCode,0,icd:117,1,01111,"Tuberculosis of lung, nodular, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:118,1,01112,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:119,1,01113,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:120,1,01114,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:121,1,01115,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:122,1,01116,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:123,1,01120,"Tuberculosis of lung with cavitation, unspecified",,,,9
ICDCode,0,icd:124,1,01121,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:125,1,01122,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:126,1,01123,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:127,1,01124,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:128,1,01125,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:129,1,01126,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:130,1,01130,"Tuberculosis of bronchus, unspecified",,,,9
ICDCode,0,icd:131,1,01131,"Tuberculosis of bronchus, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:132,1,01132,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:133,1,01133,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:134,1,01134,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture",,,,9
ICDCode,0,icd:135,1,01135,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:136,1,01136,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:137,1,01140,"Tuberculous fibrosis of lung, unspecified",,,,9
ICDCode,0,icd:138,1,01141,"Tuberculous fibrosis of lung, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:139,1,01142,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:140,1,01143,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:141,1,01144,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:142,1,01145,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:143,1,01146,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:144,1,01150,"Tuberculous bronchiectasis, unspecified",,,,9
ICDCode,0,icd:145,1,01151,"Tuberculous bronchiectasis, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:146,1,01152,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:147,1,01153,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:148,1,01154,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:149,1,01155,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:150,1,01156,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:151,1,01160,"Tuberculous pneumonia [any form], unspecified",,,,9
ICDCode,0,icd:152,1,01161,"Tuberculous pneumonia [any form], bacteriological or histological examination not done",,,,9
ICDCode,0,icd:153,1,01162,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:154,1,01163,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:155,1,01164,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:156,1,01165,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:157,1,01166,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:158,1,01170,"Tuberculous pneumothorax, unspecified",,,,9
ICDCode,0,icd:159,1,01171,"Tuberculous pneumothorax, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:160,1,01172,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:161,1,01173,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:162,1,01174,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:163,1,01175,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:164,1,01176,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:165,1,01180,"Other specified pulmonary tuberculosis, unspecified",,,,9
ICDCode,0,icd:166,1,01181,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:167,1,01182,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:168,1,01183,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:169,1,01184,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:170,1,01185,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:171,1,01186,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:172,1,01190,"Pulmonary tuberculosis, unspecified, unspecified",,,,9
ICDCode,0,icd:173,1,01191,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:174,1,01192,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:175,1,01193,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:176,1,01194,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:177,1,01195,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:178,1,01196,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:179,1,01200,"Tuberculous pleurisy, unspecified",,,,9
ICDCode,0,icd:180,1,01201,"Tuberculous pleurisy, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:181,1,01202,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:182,1,01203,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:183,1,01204,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:184,1,01205,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:185,1,01206,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:186,1,01210,"Tuberculosis of intrathoracic lymph nodes, unspecified",,,,9
ICDCode,0,icd:187,1,01211,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:188,1,01212,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:189,1,01213,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:190,1,01214,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:191,1,01215,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:192,1,01216,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:193,1,01220,"Isolated tracheal or bronchial tuberculosis, unspecified",,,,9
ICDCode,0,icd:194,1,01221,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:195,1,01222,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:196,1,01223,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:197,1,01224,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:198,1,01225,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:199,1,01226,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:200,1,01230,"Tuberculous laryngitis, unspecified",,,,9
ICDCode,0,icd:201,1,01231,"Tuberculous laryngitis, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:202,1,01232,"Tuberculous laryngitis, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:203,1,01233,"Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:204,1,01234,"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:205,1,01235,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:206,1,01236,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:207,1,01280,"Other specified respiratory tuberculosis, unspecified",,,,9
ICDCode,0,icd:208,1,01281,"Other specified respiratory tuberculosis, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:209,1,01282,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:210,1,01283,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:211,1,01284,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:212,1,01285,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:213,1,01286,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:214,1,01300,"Tuberculous meningitis, unspecified",,,,9
ICDCode,0,icd:215,1,01301,"Tuberculous meningitis, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:216,1,01302,"Tuberculous meningitis, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:217,1,01303,"Tuberculous meningitis, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:218,1,01304,"Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:219,1,01305,"Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:220,1,01306,"Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:221,1,01310,"Tuberculoma of meninges, unspecified",,,,9
ICDCode,0,icd:222,1,01311,"Tuberculoma of meninges, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:223,1,01312,"Tuberculoma of meninges, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:224,1,01313,"Tuberculoma of meninges, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:225,1,01314,"Tuberculoma of meninges, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:226,1,01315,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:227,1,01316,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:228,1,01320,"Tuberculoma of brain, unspecified",,,,9
ICDCode,0,icd:229,1,01321,"Tuberculoma of brain, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:230,1,01322,"Tuberculoma of brain, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:231,1,01323,"Tuberculoma of brain, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:232,1,01324,"Tuberculoma of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:233,1,01325,"Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:234,1,01326,"Tuberculoma of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:235,1,01330,"Tuberculous abscess of brain, unspecified",,,,9
ICDCode,0,icd:236,1,01331,"Tuberculous abscess of brain, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:237,1,01332,"Tuberculous abscess of brain, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:238,1,01333,"Tuberculous abscess of brain, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:239,1,01334,"Tuberculous abscess of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:240,1,01335,"Tuberculous abscess of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:241,1,01336,"Tuberculous abscess of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:242,1,01340,"Tuberculoma of spinal cord, unspecified",,,,9
ICDCode,0,icd:243,1,01341,"Tuberculoma of spinal cord, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:244,1,01342,"Tuberculoma of spinal cord, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:245,1,01343,"Tuberculoma of spinal cord, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:246,1,01344,"Tuberculoma of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:247,1,01345,"Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:248,1,01346,"Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:249,1,01350,"Tuberculous abscess of spinal cord, unspecified",,,,9
ICDCode,0,icd:250,1,01351,"Tuberculous abscess of spinal cord, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:251,1,01352,"Tuberculous abscess of spinal cord, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:252,1,01353,"Tuberculous abscess of spinal cord, tubercle bacilli found (in sputum) by microscopy",,,,9
